Date,Prev Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
2019-02-12,373.5705,375.4804,385.2207,368.19223,376.42996,379.92346,2186712.0,84256590000000.0,1118523.4,0.44244635
2019-02-13,369.86246,371.73532,381.4089,364.5505,372.6108,376.0639,2198296.8,83817130000000.0,1125146.6,0.4428792
2019-02-14,365.98788,367.82172,377.38742,360.72867,368.61072,372.04858,2210467.0,83295950000000.0,1131726.8,0.4433343
2019-02-15,362.06317,363.85626,373.26767,356.8378,364.54636,368.00165,2222852.8,82693020000000.0,1137962.4,0.44380015
2019-02-18,358.18384,359.93695,369.15137,352.97266,360.519,364.02194,2235130.8,82024665000000.0,1143720.1,0.444269
2019-02-19,354.435,356.1517,365.1367,349.2207,356.6217,360.1942,2247011.0,81318940000000.0,1148963.5,0.4447347
2019-02-20,350.92032,352.6032,361.32907,345.683,352.9596,356.62653,2258173.5,80589995000000.0,1153498.9,0.4451884
2019-02-21,347.7608,349.41254,357.85223,342.47827,349.65598,353.44446,2268258.0,79852960000000.0,1157105.1,0.4456155
2019-02-22,345.02057,346.64673,354.7847,339.6737,346.78284,350.70984,2277079.5,79135560000000.0,1159809.4,0.4460069
2019-02-25,342.78033,344.38684,352.2172,337.35165,344.42484,348.50296,2284399.5,78462150000000.0,1161549.4,0.44635126
2019-02-26,341.05215,342.64587,350.182,335.53186,342.60126,346.82855,2290141.8,77867390000000.0,1162501.6,0.44664893
2019-02-27,339.77158,341.3618,348.6428,334.1622,341.25684,345.60736,2294496.0,77391746000000.0,1163095.6,0.44690537
2019-02-28,338.89978,340.4918,347.56006,333.20535,340.3471,344.7965,2297630.8,77034860000000.0,1163405.0,0.44711822
2019-03-01,338.29263,339.8937,346.81207,332.52997,339.73413,344.23514,2299984.8,76820960000000.0,1163967.4,0.44730037
2019-03-05,337.8917,339.5014,346.31927,332.0729,339.34396,343.8674,2301770.2,76716070000000.0,1164667.2,0.44745412
2019-03-06,337.6098,339.2262,345.98837,331.7486,339.0843,343.60336,2303227.0,76699520000000.0,1165586.0,0.44758624
2019-03-07,337.39343,339.0119,345.74997,331.5003,338.89346,343.39267,2304504.0,76739530000000.0,1166646.0,0.4477013
2019-03-08,337.239,338.8528,345.5821,331.3186,338.76028,343.23886,2305579.5,76803280000000.0,1167632.0,0.4478011
2019-03-11,337.14374,338.74747,345.4748,331.1993,338.67975,343.14267,2306413.0,76870130000000.0,1168423.6,0.44788298
2019-03-12,337.08914,338.68137,345.41296,331.12527,338.63843,343.08514,2307057.0,76940130000000.0,1169104.9,0.44794893
2019-03-13,337.12738,338.70447,345.42694,331.13855,338.6808,343.12964,2307387.0,76983340000000.0,1169348.1,0.44799238
2019-03-14,337.31436,338.87506,345.56915,331.29218,338.8641,343.3378,2307224.5,76994060000000.0,1168988.2,0.44800544
2019-03-15,337.7311,339.2758,345.91776,331.6631,339.27173,343.79712,2306332.5,76973960000000.0,1167841.6,0.44798008
2019-03-18,338.38004,339.9154,346.50027,332.2618,339.91974,344.50214,2304697.0,76961250000000.0,1166187.4,0.44791627
2019-03-19,339.3408,340.87036,347.3848,333.1613,340.8821,345.54053,2302122.0,76948750000000.0,1163752.6,0.44780362
2019-03-20,340.6427,342.17212,348.61356,334.3936,342.1953,346.93863,2298527.0,76961530000000.0,1160641.1,0.4476415
2019-03-22,342.20944,343.74902,350.14014,335.89517,343.79495,348.6051,2294130.8,77041100000000.0,1157334.6,0.447439
2019-03-25,344.01453,345.5713,351.94293,337.64288,345.65176,350.50888,2289028.0,77198170000000.0,1153937.0,0.44719788
2019-03-26,346.00583,347.58426,353.9709,339.58716,347.70984,352.5934,2283378.2,77432210000000.0,1150553.9,0.4469233
