,league,year,split,date,game,side,position,playername,teamname,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15
246,LEC,2024,Winter,13/1/2024 18:15,1,Red,jng,Razork,Fnatic,Xin Zhao,Rumble,Nocturne,Kalista,Graves,Lee Sin,2370,1,5,3,11,0.0,0.0,0.0,0.0,0.5063,0.7342,18826,476.6076,0.200509,1387.6962,2033.8481,7,0.1772,13,0.3291,6,54,1.3671,15930,10820,273.9241,0.209026,14450,,291.0,51.0,240,,,7.3671,3549.0,3430.0,67.0,583.0,265.0,3.0,1.0,0.0,0.0,5160.0,4890.0,95.0,227.0,-806.0,-13.0,2.0,0.0,1.0
247,LEC,2024,Winter,13/1/2024 18:15,1,Red,mid,Humanoid,Fnatic,Akali,Rumble,Nocturne,Kalista,Graves,Lee Sin,2370,1,3,3,6,0.0,0.0,0.0,0.0,0.5063,0.7342,26874,680.3544,0.286226,767.4177,614.3797,30,0.7595,18,0.4557,5,73,1.8481,16201,11091,280.7848,0.214261,14975,,327.0,323.0,4,,,8.2785,3475.0,4849.0,87.0,214.0,68.0,-2.0,0.0,1.0,0.0,5373.0,7808.0,145.0,391.0,779.0,13.0,0.0,1.0,0.0
248,LEC,2024,Winter,13/1/2024 18:15,1,Red,bot,Noah,Fnatic,Aphelios,Rumble,Nocturne,Kalista,Graves,Lee Sin,2370,1,4,2,8,1.0,0.0,0.0,0.0,0.5063,0.7342,25509,645.7975,0.271687,406.8354,591.1139,13,0.3291,16,0.4051,4,50,1.2658,17149,12039,304.7848,0.232576,14850,,355.0,328.0,27,,,8.9873,3092.0,3019.0,77.0,-478.0,-179.0,-18.0,0.0,0.0,0.0,4945.0,4937.0,128.0,-342.0,-249.0,-12.0,0.0,1.0,0.0
249,LEC,2024,Winter,13/1/2024 18:15,1,Red,sup,Jun,Fnatic,Milio,Rumble,Nocturne,Kalista,Graves,Lee Sin,2370,1,1,1,16,0.0,0.0,0.0,0.0,0.5063,0.7342,6738,170.5823,0.0717641,359.9747,224.0506,67,1.6962,11,0.2785,15,126,3.1899,10493,5383,136.2785,0.103987,9000,,25.0,25.0,0,,,0.6329,2366.0,2864.0,8.0,2.0,36.0,-8.0,0.0,0.0,0.0,3430.0,4480.0,13.0,10.0,579.0,-9.0,0.0,1.0,0.0
250,LEC,2024,Winter,13/1/2024 18:15,1,Blue,team,,Karmine Corp,,Varus,Poppy,Ashe,Vi,Aatrox,2370,0,9,20,16,0.0,0.0,0.0,0.0,0.2278,0.7342,107413,2719.3165,,3209.6962,2972.5823,141,3.5696,58,1.4684,40,320,8.1013,66367,40815,1033.2911,,64153,-0.103077,,1024.0,258,,,32.4557,15274.0,18938.0,342.0,-392.0,103.0,19.0,0.0,0.0,1.0,23519.0,30045.0,537.0,-461.0,298.0,14.0,1.0,3.0,2.0
251,LEC,2024,Winter,13/1/2024 18:15,1,Red,team,,Fnatic,,Rumble,Nocturne,Kalista,Graves,Lee Sin,2370,1,20,9,49,3.0,0.0,0.0,0.0,0.5063,0.7342,93891,2376.9873,,3666.5823,5598.2785,134,3.3924,66,1.6709,36,352,8.9114,77314,51762,1310.4304,,71125,0.103077,,1061.0,279,,,33.9241,15666.0,18835.0,323.0,392.0,-103.0,-19.0,1.0,1.0,0.0,23980.0,29747.0,523.0,461.0,-298.0,-14.0,2.0,3.0,1.0
252,LEC,2024,Winter,13/1/2024 19:24,1,Blue,top,Photon,Team Vitality,Jax,Ashe,Lucian,Poppy,K'Sante,Renekton,1964,0,6,3,9,1.0,0.0,0.0,0.0,0.5499,1.2831,35652,1089.165,0.367425,953.89,1016.5784,12,0.3666,6,0.1833,4,32,0.9776,15274,10992,335.8045,0.269294,14358,,297.0,267.0,30,,,9.0733,2975.0,4604.0,70.0,-296.0,-109.0,-9.0,0.0,0.0,0.0,5053.0,7414.0,116.0,-38.0,-244.0,-19.0,1.0,2.0,1.0
253,LEC,2024,Winter,13/1/2024 19:24,1,Blue,jng,Daglas,Team Vitality,Rell,Ashe,Lucian,Poppy,K'Sante,Renekton,1964,0,0,6,13,0.0,0.0,0.0,0.0,0.5499,1.2831,7095,216.7515,0.0731202,719.5723,1375.7536,12,0.3666,8,0.2444,12,45,1.3747,9623,5341,163.167,0.130848,9250,,168.0,15.0,153,,,5.1324,3279.0,3609.0,75.0,-666.0,-293.0,-6.0,0.0,0.0,2.0,4820.0,5774.0,109.0,-577.0,17.0,0.0,0.0,1.0,2.0
254,LEC,2024,Winter,13/1/2024 19:24,1,Blue,mid,Vetheo,Team Vitality,Azir,Ashe,Lucian,Poppy,K'Sante,Renekton,1964,0,3,3,7,1.0,0.0,0.0,0.0,0.5499,1.2831,16870,515.3768,0.17386,474.9898,358.9308,14,0.4277,9,0.2749,4,54,1.6497,13774,9492,289.9796,0.232545,13250,,304.0,298.0,6,,,9.2872,3166.0,4680.0,83.0,-124.0,-220.0,-4.0,0.0,0.0,0.0,5481.0,8131.0,147.0,302.0,952.0,16.0,0.0,1.0,0.0
255,LEC,2024,Winter,13/1/2024 19:24,1,Blue,bot,Carzzy,Team Vitality,Kalista,Ashe,Lucian,Poppy,K'Sante,Renekton,1964,0,5,6,9,0.0,0.0,0.0,0.0,0.5499,1.2831,30007,916.7108,0.309249,629.2974,442.2403,13,0.3971,13,0.3971,5,46,1.4053,14108,9826,300.1833,0.240728,12875,,266.0,246.0,20,,,8.1263,3486.0,2758.0,84.0,-602.0,-375.0,20.0,0.0,1.0,2.0,5766.0,4694.0,127.0,-1286.0,-658.0,21.0,1.0,2.0,3.0
